time,P,G(i),H_sun,T2m,WS10m,Int
20190724:0710,16003000.0,238.7,21.3,25.24,1.03,0.0
20190724:0810,34963000.0,466.13,32.96,27.96,1.59,0.0
20190724:0910,51369000.0,683.81,44.61,30.23,2.14,0.0
20190724:1010,63172000.0,855.31,55.8,31.9,2.62,0.0
20190724:1110,70666000.0,972.51,65.52,33.37,2.97,0.0
20190724:1210,72787000.0,1009.71,71.02,34.13,3.03,0.0
20190724:1310,69799000.0,967.06,68.61,35.16,3.17,0.0
20190724:1410,64034000.0,877.52,60.2,35.46,3.31,0.0
20190724:1510,52312000.0,708.42,49.44,35.95,3.52,0.0
20190724:1610,36932000.0,504.19,37.9,35.82,3.66,0.0
20190724:1710,17696000.0,271.81,26.21,35.73,3.66,0.0
20190724:1810,3354000.0,71.19,14.68,34.54,3.45,0.0
20190724:1910,536000.0,17.49,3.57,33.59,2.9,0.0
20190724:2010,0.0,0.0,0.0,31.75,2.48,0.0
20190724:2110,0.0,0.0,0.0,30.26,2.48,0.0
20190724:2210,0.0,0.0,0.0,29.07,2.76,0.0
20190724:2310,0.0,0.0,0.0,27.98,2.76,0.0
20190725:0010,0.0,0.0,0.0,27.01,2.48,0.0
20190725:0110,0.0,0.0,0.0,26.21,2.21,0.0
20190725:0210,0.0,0.0,0.0,25.4,1.93,0.0
20190725:0310,0.0,0.0,0.0,24.53,1.79,0.0
20190725:0410,0.0,0.0,0.0,23.53,1.59,0.0
20190725:0510,0.0,0.0,0.0,22.52,1.45,0.0
20190725:0610,2300000.0,48.11,9.78,22.2,1.24,0.0
20190725:0710,16135000.0,241.66,21.17,24.92,0.97,0.0
20190725:0810,34979000.0,466.1,32.83,27.12,1.17,0.0
20190725:0910,51331000.0,687.73,44.48,29.34,1.31,0.0
20190725:1010,63801000.0,869.54,55.66,31.04,1.93,0.0
20190725:1110,70790000.0,973.77,65.35,32.42,2.69,0.0
20190725:1210,72426000.0,999.62,70.81,33.4,3.1,0.0
20190725:1310,70738000.0,972.24,68.43,33.99,3.38,0.0
20190725:1410,62597000.0,851.59,60.05,34.62,3.52,0.0
20190725:1510,53489000.0,719.51,49.31,34.91,3.72,0.0
20190725:1610,37564000.0,509.05,37.79,34.74,4.0,0.0
20190725:1710,17792000.0,264.45,26.09,34.3,3.79,0.0
20190725:1810,3524000.0,72.72,14.56,33.48,3.79,0.0
